99.9076	15.1545
99.9076	153.5097
133.5843	152.9484
150.4227	142.2841
147.8969	116.1847
152.9484	111.4138
143.1261	113.6589
143.1261	102.4334
147.3356	94.0142
129.0941	98.2238
131.0586	90.6465
133.3037	86.1563
139.1971	82.7886
141.4422	79.1403
148.7388	67.3534
160.8063	62.3019
150.1420	61.4600
157.4387	54.1634
144.8099	59.7762
141.4422	67.9147
136.3907	66.2309
136.9520	56.4085
123.2007	70.4405
121.5168	56.4085
126.0071	43.4991
115.0621	66.2309
105.5204	63.4245
109.7300	52.4796
114.7815	48.8312
111.4138	47.7087
117.3072	40.6927
140.6003	30.3090
122.6394	30.8703
118.1492	29.7478
101.3108	43.4991
103.2753	33.1154
