137.5352	22.3534
138.4666	122.0120
151.5060	121.7016
197.7651	145.2968
213.9091	142.1921
218.2556	136.6038
216.7033	128.2213
227.5695	127.2899
228.1905	118.2865
221.3603	111.7668
234.0893	111.4563
229.1218	102.7633
219.4975	101.5215
219.8079	90.6553
210.1836	84.4460
223.8440	76.9949
211.4254	71.4065
195.5918	77.6158
193.4186	74.5112
203.0429	64.5763
193.1081	61.1613
174.1699	66.1287
170.1338	63.6450
171.3757	57.7462
183.4838	54.9520
179.4477	50.6055
186.5884	42.8439
174.1699	41.6021
182.5524	33.2196
188.1407	22.0429
174.7908	19.8696
174.4803	13.3499
158.0258	13.6604
155.8525	0.3105
143.1235	0.3105
143.7445	17.6964
