102.9129	13.8431
103.3227	104.3700
88.7965	110.1532
74.2703	113.1586
65.1174	111.2461
65.1174	100.7726
75.3632	98.2226
76.0007	96.0824
68.5327	93.9421
72.9953	88.3867
68.0773	85.8366
73.6328	84.7437
68.7148	80.2811
71.7202	79.8258
65.5273	71.9479
73.2230	71.0827
67.2576	62.9772
68.5327	60.8370
64.6621	55.6913
62.1120	53.3690
75.1355	53.1413
79.1883	56.7842
80.6910	54.2342
82.6035	58.2869
87.5215	59.1066
89.2519	56.7842
89.8894	51.8663
87.1116	47.8135
84.7437	43.3054
84.3339	40.5276
89.2519	37.9776
96.2645	39.4803
99.2699	38.2053
100.3173	34.5623
95.4448	29.4622
89.0242	30.0997
97.9949	25.8193
95.2172	24.3166
101.4101	21.9487
95.2172	17.0762
93.0769	11.7029
