variable,type,unit,description
tree.id,string,,unique label for each tree tagged and sampled in the plot
unit,string,,fire unit. NW is for northwest unit
fuel,string,,"fuel load treatment. If ""H"" means fuel load treatment is high (total fuel load:1240g/m^2). ""L"" is low fuel load treatment (620g/m^2)"
h_ratio,string,,"fuel load height ratio. ""H"" means 70% of total fuel load was located on the tray that is 30cm above ground. ""L"" means 30% of total fuel load was located on the tray.""C"" is control"
