variable,type ,unit,description
tree.id,string,,a unique number given to each tree for identity and tracking purpose
mortality,logical,,"a logical number indicating mortality of trees, '1' indicates 'dead' and '0' indicates 'survived'"
crown.alive,numeric,%,visual assessment of percentage crown volume alive 
