"Plot Title: 8l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283015, SEN S/N: 1283015)","Started (LGR S/N: 1283015)","End Of File (LGR S/N: 1283015)"
1,12/14/19 09:00:06 AM,0.60,Logged,
2,12/14/19 09:00:07 AM,0.60,,
3,12/14/19 09:00:08 AM,0.60,,
4,12/14/19 09:00:09 AM,3.66,,
5,12/14/19 09:00:10 AM,0.60,,
6,12/14/19 09:00:11 AM,1.28,,
7,12/14/19 09:00:12 AM,2.64,,
8,12/14/19 09:00:13 AM,0.60,,
9,12/14/19 09:00:14 AM,0.60,,
10,12/14/19 09:00:15 AM,0.60,,
11,12/14/19 09:00:16 AM,0.60,,
12,12/14/19 09:00:17 AM,0.60,,
13,12/14/19 09:00:18 AM,0.60,,
14,12/14/19 09:00:19 AM,0.60,,
15,12/14/19 09:00:20 AM,0.26,,
16,12/14/19 09:00:21 AM,4.34,,
17,12/14/19 09:00:22 AM,9.44,,
18,12/14/19 09:00:23 AM,0.60,,
19,12/14/19 09:00:24 AM,0.94,,
20,12/14/19 09:00:25 AM,0.60,,
21,12/14/19 09:00:26 AM,0.60,,
22,12/14/19 09:00:27 AM,0.60,,
23,12/14/19 09:00:28 AM,8.42,,
24,12/14/19 09:00:29 AM,0.60,,
25,12/14/19 09:00:30 AM,0.60,,
26,12/14/19 09:00:31 AM,0.60,,
27,12/14/19 09:00:32 AM,0.60,,
28,12/14/19 09:00:33 AM,0.26,,
29,12/14/19 09:00:34 AM,0.60,,
30,12/14/19 09:00:35 AM,0.60,,
31,12/14/19 09:00:36 AM,0.60,,
32,12/14/19 09:00:37 AM,0.60,,
33,12/14/19 09:00:38 AM,0.60,,
34,12/14/19 09:00:39 AM,0.60,,
35,12/14/19 09:00:40 AM,0.60,,
36,12/14/19 09:00:41 AM,0.60,,
37,12/14/19 09:00:42 AM,0.60,,
38,12/14/19 09:00:43 AM,0.60,,
39,12/14/19 09:00:44 AM,0.60,,
40,12/14/19 09:00:45 AM,0.60,,
41,12/14/19 09:00:46 AM,0.60,,
42,12/14/19 09:00:47 AM,0.60,,
43,12/14/19 09:00:48 AM,0.26,,
44,12/14/19 09:00:49 AM,0.60,,
45,12/14/19 09:00:50 AM,0.60,,
46,12/14/19 09:00:51 AM,0.60,,
47,12/14/19 09:00:52 AM,0.60,,
48,12/14/19 09:00:53 AM,0.60,,
49,12/14/19 09:00:54 AM,0.60,,
50,12/14/19 09:00:55 AM,0.60,,
51,12/14/19 09:00:56 AM,0.60,,
52,12/14/19 09:00:57 AM,0.60,,
53,12/14/19 09:00:58 AM,0.60,,
54,12/14/19 09:00:59 AM,0.60,,
55,12/14/19 09:01:00 AM,0.60,,
56,12/14/19 09:01:01 AM,0.60,,
57,12/14/19 09:01:02 AM,0.60,,
